solver,r,c,comp,time,sing_values
randomized,50000,700,1,0.9317579984664917,[7214.538312948973]
randomized,20000,700,16,0.5183474302291871,"[4840.128721292031, 4830.519128648953, 4819.806642130912, 4815.51338086197, 4813.158775000961, 4806.474626186574, 4803.157639828864, 4797.765234339079, 4790.683270106695, 4779.850850467076, 4776.0246483599985, 4773.066581863422, 4764.417183720776, 4095.7414980702533, 0.4646458078411454, 0.4618240257431474]"
randomized,70000,100,4,0.245552396774292,"[7913.004333847322, 7675.8901683647455, 0.7776682366826384, 0.7755391349198723]"
randomized,40000,100,10,0.1758619785308837,"[6039.098020753729, 5789.875982697654, 0.5953494071062669, 0.5930504427989285, 0.592407197841057, 0.5916089128896216, 0.5911314378524433, 0.5894204635269312, 0.587739332541978, 0.5870245985182815]"
randomized,20000,300,9,0.2205720901489258,"[4573.637087615851, 4557.083330729015, 4552.185027579593, 4536.261195254289, 4527.763113648954, 4099.879026220103, 0.44239359413768714, 0.4413829371517865, 0.43864201805733877]"
full,40000,400,3,1.2195908546447751,"[6338.195755142778, 6332.098212858201, 6326.6451001664]"
full,60000,800,3,5.597055459022522,"[7876.686704502906, 7865.644194628663, 7859.311648299064]"
randomized,20000,300,8,0.2088709354400634,"[4573.637087615851, 4557.083330729013, 4552.185027579591, 4536.261195254285, 4527.763113648954, 4099.8790262201, 0.44243901641138517, 0.4416716645767216]"
full,20000,300,1,0.3350413084030151,[4573.637087615849]
randomized,100000,400,8,1.300124955177307,"[9698.844424190056, 9692.287551328489, 9682.997047209388, 9675.955154755522, 9667.079345121063, 9666.052290808831, 9656.612295894236, 9120.512794209435]"
randomized,20000,300,14,0.2294079780578613,"[4573.637087615852, 4557.083330729016, 4552.185027579591, 4536.261195254288, 4527.763113648951, 4099.879026220104, 0.44348935535330464, 0.44174222191522766, 0.4406251142554037, 0.4395250712792613, 0.4390762834368032, 0.43814456973965826, 0.43748736452657966, 0.4365102037868211]"
randomized,30000,600,4,0.4328543424606323,"[5694.958472211829, 5678.907793510768, 5675.290214976572, 5673.147098493711]"
randomized,60000,600,11,1.138079571723938,"[7763.372071474047, 7758.10530750745, 7756.53769440425, 7742.117041110351, 7739.362688683915, 7733.178126507548, 7725.212598920602, 7722.701861395826, 7720.046853652809, 7714.401195174094, 7705.722166366347]"
randomized,70000,300,4,0.5933069705963134,"[8136.049712128707, 8124.509213792954, 8106.789712942314, 8099.909482779734]"
